x,l*_mix[um],FWHM_circ[mrad],FWHM_lin[mrad],E0_circ,E0_lin_co,rho_lin=2-E0
0.000000000000000000e+00,1.834190305546798072e+01,5.908366867861090554e+00,1.124613718148871300e+01,1.999118455656025084e+00,1.794061826562184603e+00,2.059381734378153972e-01
1.000000000000000056e-01,1.867507903653494239e+01,5.822613580797164623e+00,1.096025661558429753e+01,1.999097709324370253e+00,1.800322262600995815e+00,1.996777373990041848e-01
2.000000000000000111e-01,1.912672915559117826e+01,5.714087875425335028e+00,1.105068070040517902e+01,1.999057311023761496e+00,1.806954442310641618e+00,1.930455576893583824e-01
3.000000000000000444e-01,1.957411574604021354e+01,5.640384322572078446e+00,1.076618481388624105e+01,1.999053096801030716e+00,1.812710077175779588e+00,1.872899228242204117e-01
4.000000000000000222e-01,1.999250151057653824e+01,5.581836328630314981e+00,1.063542185593312439e+01,1.999030466315057097e+00,1.818933969117205729e+00,1.810660308827942711e-01
5.000000000000000000e-01,2.043834816571872537e+01,5.465333167606998721e+00,1.034291522164221178e+01,1.999003257133724620e+00,1.824703972557654374e+00,1.752960274423456255e-01
6.000000000000000888e-01,2.097844480126307332e+01,5.387803968840601421e+00,1.038430435769791238e+01,1.998978544747398001e+00,1.830154603545695480e+00,1.698453964543045203e-01
7.000000000000000666e-01,2.148938788217559548e+01,5.321567139948117031e+00,9.969409553827839332e+00,1.998951586724366569e+00,1.835576109849018422e+00,1.644238901509815776e-01
8.000000000000000444e-01,2.200051194189475368e+01,5.251247561361544136e+00,9.670479385678941497e+00,1.998908691089500644e+00,1.842054291825448331e+00,1.579457081745516689e-01
9.000000000000000222e-01,2.257474430508225893e+01,5.087100992445895642e+00,9.536860623846816765e+00,1.998874578146384362e+00,1.847600351076242875e+00,1.523996489237571250e-01
1.000000000000000000e+00,2.316463031774700454e+01,5.086326880506061521e+00,9.405589092010995245e+00,1.998851505264317652e+00,1.853215573804527505e+00,1.467844261954724949e-01
