medium,mode,N,T_wall,sigma_eta0,FOM
Homogeneous,estimator,1000,19.84664425899973,0.016961024769158187,175.14943390645618
Homogeneous,estimator,3000,27.131524573997012,0.01744719594438509,121.08058891568704
Homogeneous,estimator,10000,31.418620182004815,0.010222425212546645,304.5825427738168
Homogeneous,estimator,30000,43.61521019200154,0.006318453343458931,574.3021793667475
Homogeneous,estimator,100000,86.23867196900756,0.0024453737195627152,1939.1323826843065
Homogeneous,estimator,300000,238.6949225190001,0.0015865534678800323,1664.3604753195905
Homogeneous,estimator,500000,389.110976336,0.0012853887120022167,1555.4553703146353
Homogeneous,analog,10000000,32.494219821001025,0.003533924747329248,2464.218940878391
Homogeneous,analog,30000000,95.63221244500164,0.0036871446749373177,769.1577838608707
Homogeneous,analog,100000000,319.2093900269974,0.0016312989840061565,1177.2188574695551
Homogeneous,analog,500000000,1589.7432583670015,0.1995898968609536,0.01579050067557564
Homogeneous,analog,1000000000,3178.079847035002,0.19932710845284302,0.007919585690386277
Mixture,estimator,1000,236.4462352240007,0.003087175655256584,443.7566914803563
Mixture,estimator,3000,346.2595733089911,0.0025391088348568056,447.9562261711043
Mixture,estimator,10000,394.01764486500906,0.0015000082993359626,1127.9685875806701
Mixture,estimator,30000,404.7738175360064,0.00045878567225179765,11737.291596497631
Mixture,estimator,100000,1007.2154536369926,0.00033894006792985464,8642.348899192782
Mixture,estimator,300000,2735.265607952999,0.00028508178904243265,4498.435978329016
Mixture,estimator,500000,4410.9699343190005,5.8081681412267196e-05,67202.82685018844
Mixture,analog,3000000,10.135578797002381,0.005175542183231074,3683.322452565036
Mixture,analog,10000000,33.42380508599308,0.0011526818822392637,22517.759479864224
Mixture,analog,30000000,99.88558730800287,0.0015816859502164062,4001.8117835272114
Mixture,analog,100000000,332.31350623500475,0.1997317624483013,0.07543236753278054
Mixture,analog,500000000,1660.5877511960061,0.23963964996209058,0.010486264712577105
Mixture,analog,1000000000,3320.981736520989,0.19945747445982737,0.007568901986913701
Bilayer,estimator,1000,53.221809827999095,0.017914621168176936,58.54571356394366
Bilayer,estimator,3000,72.51891157000136,0.02117737257626982,30.747128880239348
Bilayer,estimator,10000,85.08018458700826,0.01986319472746274,29.790197066249135
Bilayer,estimator,30000,103.46395055099856,0.007219860148389474,185.41863201912338
Bilayer,estimator,100000,272.15911841699926,0.0030458399142969913,396.06180584027254
Bilayer,estimator,300000,798.9431126320051,0.0022229731827271143,253.28863043262405
Bilayer,estimator,500000,1304.4912298189884,0.002295873811548859,145.43294812885208
Bilayer,analog,3000000,32.033912288992724,0.0005594725809712919,99731.51205405433
Bilayer,analog,10000000,105.94373356700089,0.002667942548195483,1326.0862738530877
Bilayer,analog,30000000,317.189092755998,0.0007383463553789254,5783.110416686573
Bilayer,analog,100000000,1056.436226136997,0.0005996536918932778,2632.4230879225543
Bilayer,analog,500000000,5277.337765923992,0.11230332598965878,0.015024494587928575
Bilayer,analog,1000000000,10549.165267735996,0.18509585878980644,0.0027668683739082854
