medium,channel,N,D_obs,D_pred,bias,ratio
Homogeneous,circular,1000000,0.422808215808098,0.082434159246772,0.41469434134565303,5.1290414031202065
Homogeneous,circular,3000000,0.49485767707492084,0.13394070700128355,0.47638640573381497,3.694602545812892
Homogeneous,circular,10000000,0.4301191440086547,0.1925294318692657,0.38462305691005527,2.2340435944397368
Homogeneous,circular,30000000,0.2755691151213544,0.19348688065508013,0.19621713539630797,1.424226356786424
Homogeneous,circular,100000000,0.17306279598732657,0.1428691909042754,0.0976684475422269,1.21133741215964
Homogeneous,circular,500000000,0.09931406518994897,0.06842016810059132,0.07198586070639329,1.4515320255269974
Homogeneous,circular,1000000000,0.08479660828652803,0.048951260641514276,0.06924044236214418,1.7322660780387393
Mixture,circular,1000000,0.47778467617914394,0.1472984494254472,0.45451222600549307,3.243650412090503
Mixture,circular,3000000,0.4253376951277314,0.1995901527592084,0.3756007532182634,2.131055511745971
Mixture,circular,10000000,0.26103512198389694,0.1905745463845367,0.17838351151234813,1.3697271064583127
Mixture,circular,30000000,0.1537537683782581,0.13300080686849958,0.07714276805276771,1.1560363579619286
Mixture,circular,100000000,0.07113561062782749,0.07902783207741765,0.0,0.9001336460570152
Mixture,circular,500000000,0.043271113693839465,0.033548753462268814,0.02732893011870548,1.2897979575457272
Mixture,circular,1000000000,0.03199145092376329,0.02502122405167978,0.01993467529615661,1.2785725773322258
Bilayer,circular,1000000,0.41818933259148716,0.10855124252987154,0.40385510475730585,3.852460117869293
Bilayer,circular,3000000,0.42527010276562016,0.16419382138213826,0.3922945950764701,2.590049364743532
Bilayer,circular,10000000,0.2893201028857417,0.18843998514887617,0.2195369990022354,1.535343481677552
Bilayer,circular,30000000,0.18670214471875107,0.1635479172769881,0.09005425918267791,1.1415745784310327
Bilayer,circular,100000000,0.10495254547513344,0.10070848850289094,0.029543817376450125,1.0421419985081066
Bilayer,circular,500000000,0.049548245509159546,0.047044355202484796,0.015551761206319714,1.0532240328493756
Bilayer,circular,1000000000,0.04289386969901222,0.035051434313306415,0.024724097765860015,1.223740783775248
Homogeneous,S0,1000000,0.3391675742534409,0.06680293860180271,0.3325236996352698,5.077135547511503
Homogeneous,S0,3000000,0.40035060209008955,0.1109921676411409,0.3846574363199262,3.6070166985521026
Homogeneous,S0,10000000,0.32818381424777016,0.159323306836392,0.2869158410282217,2.059860674275232
Homogeneous,S0,30000000,0.23524775758369898,0.15375923401137961,0.17804383000933394,1.529974827829127
Homogeneous,S0,100000000,0.15107282281155482,0.11949729984328182,0.09243047723784746,1.2642362882649536
Homogeneous,S0,500000000,0.06517604270003248,0.0581481405546403,0.029439943819142275,1.1208620272008225
Homogeneous,S0,1000000000,0.04911969820771178,0.04172742233273735,0.025914609344577354,1.1771563030188616
Mixture,S0,1000000,0.41678992152851796,0.12201397722056714,0.3985303351698175,3.4159194792501384
Mixture,S0,3000000,0.3468465394991163,0.16116447074689078,0.3071295090534067,2.152127810129068
Mixture,S0,10000000,0.2252512322470762,0.15817195583746185,0.16037378219452914,1.4240908323757802
Mixture,S0,30000000,0.12812569963175036,0.11170274293232707,0.06275900037062387,1.147023754907906
Mixture,S0,100000000,0.061808503027634576,0.06834546450381439,0.0,0.9043541290758953
Mixture,S0,500000000,0.027957328138665714,0.028836871793942977,0.0,0.9694993388477732
Mixture,S0,1000000000,0.020227393330319286,0.02106064972194845,0.0,0.9604353900458834
Bilayer,S0,1000000,0.3408433622052831,0.08593639023330547,0.32983197903337214,3.9662285241437334
Bilayer,S0,3000000,0.34775210532423423,0.13215578319826446,0.321661896600593,2.6313801553619873
Bilayer,S0,10000000,0.24728313804848334,0.15692250394217702,0.19111325992620895,1.5758296728403116
Bilayer,S0,30000000,0.177360349945219,0.1357575062646049,0.11413410193936913,1.3064496750516763
Bilayer,S0,100000000,0.09046705280420651,0.08937391494230056,0.014021090220290158,1.0122310616314802
Bilayer,S0,500000000,0.04009512311342509,0.04114300502060056,0.0,0.9745307396323922
Bilayer,S0,1000000000,0.030554310566331993,0.031173077455578044,0.0,0.9801505998203802
