medium,channel,N,q_min,n_bins,D_obs,D_pred,ratio,bias
Homogeneous,circular,500000000,0.40020010005002504,355,0.09639810744959837,0.06387516783748844,1.5091640572257279,0.07219804743618068
Homogeneous,circular,1000000000,0.40020010005002504,355,0.08133005209880245,0.04517975388567237,1.8001437613982718,0.06762667530807642
Mixture,circular,500000000,0.080040020010005,371,0.04580016560566383,0.03410087174175253,1.3430790260293222,0.03057426558331002
Mixture,circular,1000000000,0.080040020010005,371,0.032365056888785104,0.025431141937540386,1.2726544867027447,0.02001883930618783
Bilayer,circular,500000000,0.18009004502251125,366,0.049546619997146435,0.04773382829311842,1.037977086038359,0.013279653219294486
Bilayer,circular,1000000000,0.18009004502251125,366,0.042975977799119484,0.03530114143867457,1.2174104305884188,0.024510489201913208
Homogeneous,S0,500000000,0.40020010005002504,355,0.061184839306223905,0.05352193171883099,1.1431732252798497,0.029647721430376986
Homogeneous,S0,1000000000,0.40020010005002504,355,0.04680296070375772,0.03641654503321407,1.2852114515825326,0.02939987038205068
Mixture,S0,500000000,0.080040020010005,371,0.03187942743726205,0.030807976524357832,1.0347783604696366,0.008195515615400476
Mixture,S0,1000000000,0.080040020010005,371,0.02056917551851463,0.0223655778921774,0.9196800376756158,0.0
Bilayer,S0,500000000,0.18009004502251125,366,0.040606702747836745,0.04204538535677349,0.9657826275885238,0.0
Bilayer,S0,1000000000,0.18009004502251125,366,0.03054577381777347,0.03149288094951014,0.9699263102269022,0.0
