order,z_um,m_loc,eta0,s_eta0,rho,s_rho,theta_half_mrad,s_theta_half,S_shape,s_S,R_late,tstar_tau
normal,11.79,0.09996592328456373,1.7268841778093957,0.0013510309413422772,0.27311582219060426,0.0013510309413422772,1.0198973004324148,0.008519810987483185,5.1711173651826865,0.09132550403330915,1.9464657571088437,4.6000000000000005
normal,23.59,0.20001663530813052,1.6586231886940144,0.0015380923890079578,0.34137681130598563,0.0015380923890079578,1.0099983312692118,0.008477999879614473,5.280540830555198,0.09758720238438995,1.8916348350859213,5.0
normal,58.97,0.49999919390082476,1.568918083492394,0.0020404001228666487,0.4310819165076061,0.0020404001228666487,1.3354689244085307,0.014939939193266872,7.6754982895776935,0.17064780811893349,1.72254909532499,7.4
normal,117.94,0.9999983878016495,1.578379538579518,0.0014283745346580833,0.42162046142048193,0.0014283745346580833,1.5218115446802478,0.04106505966663707,6.997838429234951,0.10496031165868486,1.5688986736875243,8.600000000000001
normal,176.91,1.4999975817024742,1.5909136883004595,0.0025604807283959867,0.40908631169954046,0.0025604807283959867,1.5136883975227537,0.02347944600750325,6.921604937482942,0.12411392334015073,1.427597141983047,13.4
normal,235.88,1.999996775603299,1.6013761407185387,0.0011619030735685863,0.39862385928146127,0.0011619030735685863,1.4316930566327744,0.015668300400647348,6.923754442121814,0.1391310943311457,1.3542149322838453,15.000000000000002
normal,353.82,2.9999951634049484,1.60836876836045,0.0022304526124620697,0.39163123163955005,0.0022304526124620697,1.3167697169367192,0.023047554317490337,6.837246594611114,0.23049521507028634,1.1741170776557497,3.8000000000000007
normal,589.7,4.999991939008249,1.6132665508967219,0.0018117585270251483,0.3867334491032781,0.0018117585270251483,1.2060757075644042,0.006095974913183996,7.1003736289888,0.12267190879243874,,
normal,825.58,6.999988714611547,1.6132727656841461,0.0020595814045385797,0.3867272343158539,0.0020595814045385797,1.226590709096321,0.0184464511750772,7.3731239439496905,0.17324501101120743,,
normal,1179.4,9.999983878016497,1.6162234581659063,0.0012505342343202151,0.3837765418340937,0.0012505342343202151,1.1933176539385006,0.012712120348892538,7.484458599028535,0.21985713363283144,,
reverse,11.77,0.5089109223617446,1.6442420313760064,0.0019372372234542142,0.35575796862399356,0.0019372372234542142,8.450777438005343,0.11583119038724368,8.44661260930118,0.06488698837986537,0.4556454571071065,15.267331702017369
reverse,23.54,1.0178218447234892,1.6945645680958688,0.0019294634086800444,0.30543543190413125,0.0019294634086800444,7.168578757261789,0.064857501717348,7.283867357254444,0.08770754274112048,0.4551506898780005,15.267331702017369
reverse,58.85,2.5445546118087234,1.7294718674685676,0.00039429064391597517,0.2705281325314324,0.00039429064391597517,4.960272402187343,0.04228528455060314,7.553329985782256,0.041892584076712994,0.4729385547713157,31.55248551750256
reverse,117.7,5.089109223617447,1.7401013832176382,0.0007750161299723911,0.2598986167823618,0.0007750161299723911,3.997102116053635,0.017459098638367445,8.949461107571162,0.055288615362290496,0.5132684116314697,64.12279314847294
reverse,176.55,7.63366383542617,1.7424269128317913,0.0009340651299152521,0.2575730871682087,0.0009340651299152521,3.7410777145173144,0.032330352808663004,9.363959182120817,0.08505612128359963,0.6405438444200096,88.55052387170073
reverse,235.4,10.178218447234894,1.7430149006850388,0.0012407636751974435,0.25698509931496116,0.0012407636751974435,3.655554040436887,0.028935243002578895,9.317235753386715,0.10666402664523289,0.7803961235950195,106.87132191412158
reverse,353.1,15.26732767085234,1.7430213493119644,0.0010649919533664085,0.2569786506880356,0.0010649919533664085,3.828082689338436,0.032524316777701595,9.040726018495064,0.13482644639930497,,
reverse,588.5,25.445546118087233,1.7430922313799102,0.000933904197744868,0.2569077686200898,0.000933904197744868,3.849924976185175,0.015202001018645718,8.83289635966627,0.09950803042054047,,
reverse,823.9,35.623764565322126,1.7416241757701934,0.0007881500685953872,0.25837582422980665,0.0007881500685953872,3.8015327823313014,0.026271306819947788,8.866792185801362,0.05700273145177665,,
reverse,1177.0,50.891092236174465,1.7413415712861398,0.0010562906019028525,0.25865842871386024,0.0010562906019028525,3.8246752686389933,0.02388414156345056,8.994339034665153,0.07696194915469476,,
